Full name;Identifier;OSI Approved;Text
Creative Commons Attribution Share Alike 3.0;CC-BY-SA-3.0;;License Text
Creative Commons Attribution Share Alike 4.0;CC-BY-SA-4.0;;License Text
Creative Commons Zero v1.0 Universal;CC0-1.0;;License Text
Crossword License;Crossword;;License Text
CUA Office Public License v1.0;CUA-OPL-1.0;Y;License Text
Cube License;Cube;;License Text
Deutsche Freie Software Lizenz;D-FSL-1.0;;License Text
diffmark license;diffmark;;License Text
Do What The F*ck You Want To Public License;WTFPL;;License Text
DOC License;DOC;;License Text
Dotseqn License;Dotseqn;;License Text
DSDP License;DSDP;;License Text
dvipdfm License;dvipdfm;;License Text
Eclipse Public License 1.0;EPL-1.0;Y;License Text
eCos license version 2.0;eCos-2.0;;License Text
Educational Community License v1.0;ECL-1.0;Y;License Text
Educational Community License v2.0;ECL-2.0;Y;License Text
eGenix.com Public License 1.1.0;eGenix;;License Text
Eiffel Forum License v1.0;EFL-1.0;Y;License Text
Eiffel Forum License v2.0;EFL-2.0;Y;License Text
Enlightenment License (e16);MIT-advertising;;License Text
enna License;MIT-enna;;License Text
Entessa Public License v1.0;Entessa;Y;License Text
Erlang Public License v1.1;ErlPL-1.1;;License Text
EU DataGrid Software License;EUDatagrid;Y;License Text
European Union Public License 1.0;EUPL-1.0;;License Text
European Union Public License 1.1;EUPL-1.1;Y;License Text
Eurosym License;Eurosym;;License Text
Fair License;Fair;Y;License Text
feh License;MIT-feh;;License Text
Frameworx Open License 1.0;Frameworx-1.0;Y;License Text
Freetype Project License;FTL;;License Text
FSF Unlimited License;FSFUL;;License Text
FSF Unlimited License (with License Retention);FSFULLR;;License Text
Giftware License;Giftware;;License Text
GL2PS License;GL2PS;;License Text
Glulxe License;Glulxe;;License Text
GNU Affero General Public License v3.0;AGPL-3.0;Y;License Text
GNU Free Documentation License v1.1;GFDL-1.1;;License Text
GNU Free Documentation License v1.2;GFDL-1.2;;License Text
GNU Free Documentation License v1.3;GFDL-1.3;;License Text
GNU General Public License v1.0 only;GPL-1.0;;License Text
GNU General Public License v1.0 or later;GPL-1.0+;;License Text
GNU General Public License v2.0 only;GPL-2.0;Y;License Text
GNU General Public License v2.0 or later;GPL-2.0+;Y;License Text
GNU General Public License v2.0 w/Autoconf exception;GPL-2.0-with-autoconf-exception;Y;License Text
GNU General Public License v2.0 w/Bison exception;GPL-2.0-with-bison-exception;Y;License Text
GNU General Public License v2.0 w/Classpath exception;GPL-2.0-with-classpath-exception;Y;License Text
GNU General Public License v2.0 w/Font exception;GPL-2.0-with-font-exception;Y;License Text
GNU General Public License v2.0 w/GCC Runtime Library exception;GPL-2.0-with-GCC-exception;Y;License Text
GNU General Public License v3.0 only;GPL-3.0;Y;License Text
GNU General Public License v3.0 or later;GPL-3.0+;Y;License Text
GNU General Public License v3.0 w/Autoconf exception;GPL-3.0-with-autoconf-exception;Y;License Text
GNU General Public License v3.0 w/GCC Runtime Library exception;GPL-3.0-with-GCC-exception;Y;License Text
GNU Lesser General Public License v2.1 only;LGPL-2.1;Y;License Text
GNU Lesser General Public License v2.1 or later;LGPL-2.1+;Y;License Text
GNU Lesser General Public License v3.0 only;LGPL-3.0;Y;License Text
GNU Lesser General Public License v3.0 or later;LGPL-3.0+;Y;License Text
GNU Library General Public License v2 only;LGPL-2.0;Y;License Text
GNU Library General Public License v2 or later;LGPL-2.0+;Y;License Text
gnuplot License;gnuplot;;License Text
gSOAP Public License v1.3b;gSOAP-1.3b;;License Text
Haskell Language Report License;HaskellReport;;License Text
Historic Permission Notice and Disclaimer;HPND;Y;License Text
IBM PowerPC Initialization and Boot Software;IBM-pibs;;License Text
IBM Public License v1.0;IPL-1.0;Y;License Text
ImageMagick License;ImageMagick;;License Text
iMatix Standard Function Library Agreement;iMatix;;License Text
Imlib2 License;Imlib2;;License Text
Independent JPEG Group License;IJG;;License Text
Intel ACPI Software License Agreement;Intel-ACPI;;License Text
Intel Open Source License;Intel;Y;License Text
IPA Font License;IPA;Y;License Text
ISC License;ISC;Y;License Text
JasPer License;JasPer-2.0;;License Text
JSON License;JSON;;License Text
LaTeX Project Public License 1.3a;LPPL-1.3a;;License Text
LaTeX Project Public License v1.0;LPPL-1.0;;License Text
LaTeX Project Public License v1.1;LPPL-1.1;;License Text
LaTeX Project Public License v1.2;LPPL-1.2;;License Text
LaTeX Project Public License v1.3c;LPPL-1.3c;Y;License Text
Latex2e License;Latex2e;;License Text
Lawrence Berkeley National Labs BSD variant license;BSD-3-Clause-LBNL;;License Text
Leptonica License;Leptonica;;License Text
libpng License;Libpng;;License Text
libtiff License;libtiff;;License Text
Lucent Public License v1.02;LPL-1.02;Y;License Text
Lucent Public License Version 1.0;LPL-1.0;Y;License Text
MakeIndex License;MakeIndex;;License Text
Matrix Template Library License;MTLL;;License Text
Microsoft Public License;MS-PL;Y;License Text
Microsoft Reciprocal License;MS-RL;Y;License Text
MirOS Licence;MirOS;Y;License Text
MIT +no-false-attribs license;MITNFA;;License Text
MIT License;MIT;Y;License Text
Motosoto License;Motosoto;Y;License Text
Mozilla Public License 1.0;MPL-1.0;Y;License Text
Mozilla Public License 1.1;MPL-1.1;Y;License Text
Mozilla Public License 2.0;MPL-2.0;Y;License Text
Mozilla Public License 2.0 (no copyleft exception);MPL-2.0-no-copyleft-exception;Y;License Text
mpich2 License;mpich2;;License Text
Multics License;Multics;Y;License Text
Mup License;Mup;;License Text
NASA Open Source Agreement 1.3;NASA-1.3;Y;License Text
Naumen Public License;Naumen;Y;License Text
Net Boolean Public License v1;NBPL-1.0;;License Text
NetCDF license;NetCDF;;License Text
Nethack General Public License;NGPL;Y;License Text
Netizen Open Source License;NOSL;;License Text
Netscape Public License v1.0;NPL-1.0;;License Text
Netscape Public License v1.1;NPL-1.1;;License Text
Newsletr License;Newsletr;;License Text
No Limit Public License;NLPL;;License Text
Nokia Open Source License;Nokia;Y;License Text
Non-Profit Open Software License 3.0;NPOSL-3.0;Y;License Text
Noweb License;Noweb;;License Text
NRL License;NRL;;License Text
NTP License;NTP;Y;License Text
Nunit License;Nunit;;License Text
OCLC Research Public License 2.0;OCLC-2.0;Y;License Text
ODC Open Database License v1.0;ODbL-1.0;;License Text
ODC Public Domain Dedication & License 1.0;PDDL-1.0;;License Text
Open Group Test Suite License;OGTSL;Y;License Text
Open LDAP Public License 2.2.2;OLDAP-2.2.2;;License Text
Open LDAP Public License v1.1;OLDAP-1.1;;License Text
Open LDAP Public License v1.2;OLDAP-1.2;;License Text
Open LDAP Public License v1.3;OLDAP-1.3;;License Text
Open LDAP Public License v1.4;OLDAP-1.4;;License Text
Open LDAP Public License v2.0 (or possibly 2.0A and 2.0B);OLDAP-2.0;;License Text
Open LDAP Public License v2.0.1;OLDAP-2.0.1;;License Text
Open LDAP Public License v2.1;OLDAP-2.1;;License Text
Open LDAP Public License v2.2;OLDAP-2.2;;License Text
Open LDAP Public License v2.2.1;OLDAP-2.2.1;;License Text
Open LDAP Public License v2.3;OLDAP-2.3;;License Text
Open LDAP Public License v2.4;OLDAP-2.4;;License Text
Open LDAP Public License v2.5;OLDAP-2.5;;License Text
Open LDAP Public License v2.6;OLDAP-2.6;;License Text
Open LDAP Public License v2.7;OLDAP-2.7;;License Text
Open Market License;OML;;License Text
Open Public License v1.0;OPL-1.0;;License Text
Open Software License 1.0;OSL-1.0;Y;License Text
Open Software License 1.1;OSL-1.1;;License Text
Open Software License 2.0;OSL-2.0;Y;License Text
Open Software License 2.1;OSL-2.1;Y;License Text
Open Software License 3.0;OSL-3.0;Y;License Text
OpenLDAP Public License v2.8;OLDAP-2.8;;License Text
OpenSSL License;OpenSSL;;License Text
PHP License v3.0;PHP-3.0;Y;License Text
PHP License v3.01;PHP-3.01;;License Text
Plexus Classworlds License;Plexus;;License Text
PostgreSQL License;PostgreSQL;Y;License Text
psfrag License;psfrag;;License Text
psutils License;psutils;;License Text
Python License 2.0;Python-2.0;Y;License Text
Q Public License 1.0;QPL-1.0;Y;License Text
Qhull License;Qhull;;License Text
Rdisc License;Rdisc;;License Text
RealNetworks Public Source License v1.0;RPSL-1.0;Y;License Text
Reciprocal Public License 1.1;RPL-1.1;Y;License Text
Reciprocal Public License 1.5;RPL-1.5;Y;License Text
Red Hat eCos Public License v1.1;RHeCos-1.1;;License Text
Ricoh Source Code Public License;RSCPL;Y;License Text
Ruby License;Ruby;;License Text
Sax Public Domain Notice;SAX-PD;;License Text
Saxpath License;Saxpath;;License Text
SCEA Shared Source License;SCEA;;License Text
Scheme Widget Library (SWL) Software License Agreement;SWL;;License Text
SGI Free Software License B v1.0;SGI-B-1.0;;License Text
SGI Free Software License B v1.1;SGI-B-1.1;;License Text
SGI Free Software License B v2.0;SGI-B-2.0;;License Text
SIL Open Font License 1.0;OFL-1.0;;License Text
SIL Open Font License 1.1;OFL-1.1;Y;License Text
Simple Public License 2.0;SimPL-2.0;Y;License Text
Sleepycat License;Sleepycat;Y;License Text
SNIA Public License 1.1;SNIA;;License Text
Standard ML of New Jersey License;SMLNJ;;License Text
Standard ML of New Jersey License;StandardML-NJ;;License Text
SugarCRM Public License v1.1.3;SugarCRM-1.1.3;;License Text
Sun Industry Standards Source License v1.1;SISSL;Y;License Text
Sun Industry Standards Source License v1.2;SISSL-1.2;;License Text
Sun Public License v1.0;SPL-1.0;Y;License Text
Sybase Open Watcom Public License 1.0;Watcom-1.0;Y;License Text
TCL/TK License;TCL;;License Text
The Unlicense;Unlicense;;License Text
TMate Open Source License;TMate;;License Text
TORQUE v2.5+ Software License v1.1;TORQUE-1.1;;License Text
Trusster Open Source License;TOSL;;License Text
Unicode Terms of Use;Unicode-TOU;;License Text
University of Illinois/NCSA Open Source License;NCSA;Y;License Text
Vim License;Vim;;License Text
VOSTROM Public License for Open Source;VOSTROM;;License Text
Vovida Software License v1.0;VSL-1.0;Y;License Text
W3C Software Notice and License;W3C;Y;License Text
Wsuipa License;Wsuipa;;License Text
wxWindows Library License;WXwindows;Y;License Text
X.Net License;Xnet;Y;License Text
X11 License;X11;;License Text
Xerox License;Xerox;;License Text
XFree86 License 1.1;XFree86-1.1;;License Text
xinetd License;xinetd;;License Text
XPP License;xpp;;License Text
XSkat License;XSkat;;License Text
Yahoo! Public License v1.0;YPL-1.0;;License Text
Yahoo! Public License v1.1;YPL-1.1;;License Text
Zed License;Zed;;License Text
Zend License v2.0;Zend-2.0;;License Text
Zimbra Public License v1.3;Zimbra-1.3;;License Text
zlib License;Zlib;Y;License Text
zlib/libpng License with Acknowledgement;zlib-acknowledgement;;License Text
Zope Public License 1.1;ZPL-1.1;;License Text
Zope Public License 2.0;ZPL-2.0;Y;License Text
Zope Public License 2.1;ZPL-2.1;;License Text
